id	date	title	url
207190	2020-12-22	«Вони мені не потрібні», — голова Миколаївської ОДА пообіцяв відмовитися від надбавок і премій	https://nikvesti.com/news/207190-holova-mykolaivskoyi-oblderzhadministratsiyi-vitaliy-kim-zayavyv-shcho-gotovyy-vidmovytysya-vid-nadbavok-i-premiy-do-svoy
207454	2020-12-24	Кім підписав розпорядження про призначення Кузьміна своїм заступником	https://nikvesti.com/news/207454
208200	2021-01-05	Гранатуров может стать заместителем губернатора Николаевщины Кима	https://nikvesti.com/news/208200
209361	2021-01-19	Губернатор Ким с момента назначения получил почти ₴60 тыс. зарплаты, но без надбавок и премий	https://nikvesti.com/news/209361
209366	2021-01-19	Губернатор Ким назначит своим заместителем главу партии «За Майбутнє» на Николаевщине	https://nikvesti.com/news/209366
210441	2021-01-29	В Николаеве у мемориала Небесной сотни почтили память Героев Крут	https://nikvesti.com/news/210441
210744	2021-02-02	Вице-губернатор Решетилов хочет установить на Николаевщине станции мониторинга воздуха — нужны деньги из госбюджета	https://nikvesti.com/news/210744
210909	2021-02-03	В Николаевской ОГА пояснили, почему не аннулировали разрешение на выбросы у «Экотранса» по требованию экологов	https://nikvesti.com/news/210909
210931	2021-02-03	Депутаты Николаевского облсовета решили обязать ОТГ принять на баланс лесопосадки до конца 2021 года	https://nikvesti.com/news/210931
210935	2021-02-03	Управление Госгеокадастра в Николаевской области будет ликвидировано	https://nikvesti.com/news/210935
211985	2021-02-14	В Николаеве проведут форум для аграриев	https://nikvesti.com/news/211985
213701	2021-03-03	В николаевской «Аграрке» представили программу последипломного обучения	https://nikvesti.com/news/213701
216057	2021-03-30	С улучшением погоды «Большая стройка» стартовала сразу на 215 трассах по всей Украине — среди них и николаевские автодороги	https://nikvesti.com/news/216057
216125	2021-03-31	Необходимо разбираться: В Николаевской ОГА считают, что Госгеокадастр с нарушениями распорядился землей Мигиевской ОТГ	https://nikvesti.com/news/216125
216150	2021-03-31	«Я не сторонник закрытия предприятия», — вице-губернатор Решетилов о заводе «Экотранс» в Николаеве	https://nikvesti.com/news/216150
216153	2021-03-31	Вице-губернатор Решетилов заявил, что в госбюджете-2021 мало денег, а у Николаевщины нет проектов, чтобы их привлечь	https://nikvesti.com/news/216153
216795	2021-04-08	Квартиры, машины, земельные участки: что задекларировало руководство Николаевской ОГА	https://nikvesti.com/news/216795
216935	2021-04-09	В Южный Буг выпустили более 160 тысяч экземпляров рыб	https://nikvesti.com/news/216935
219614	2021-05-13	На Полтавщине столкнулись легковушка и грузовик - погибли двое журналистов	https://nikvesti.com/news/219614
220468	2021-05-24	Конфликт из-за базы отдыха в Коблево: соберут рабочую группу для поиска компромиссов	https://nikvesti.com/news/220468
220911	2021-05-28	На базе Николаевской «аграрки» заработала собственная пекарня	https://nikvesti.com/news/220911
221491	2021-06-05	Коблево проверили на готовность к туристическому сезону	https://nikvesti.com/news/221491
222919	2021-06-23	Исследованием влияния НГЗ на экологию займется рабочая группа при Николаевской ОГА	https://nikvesti.com/news/222919
223774	2021-07-05	Руководство госпредприятия «Степовое» на Николаевщине обещает выплатить долги по зарплатам до конца месяца	https://nikvesti.com/news/223774
223855	2021-07-06	В Николаевской ОГА создали рабочую группу для проверки работы директора аэропорта Барны	https://nikvesti.com/news/223855
224041	2021-07-08	Амбулатории Николаевщины получили 10 новых машин	https://nikvesti.com/news/224041
224082	2021-07-08	Замначальника земельного управления горсовета возглавит экологическое направление в Николаевской ОГА	https://nikvesti.com/news/224082
224128	2021-07-09	Осенью в Николаевской области хотят провести национальный винодельческий форум	https://nikvesti.com/news/224128
225602	2021-07-28	Глава парламента Разумков посетил судостроительный завод «Нибулон» в Николаеве	https://nikvesti.com/news/225602
225617	2021-07-28	«Мне свита не нужна», — Разумков ответил, почему в Николаеве его не сопровождают первые лица	https://nikvesti.com/news/225617
226763	2021-08-11	Николаевская ОГА создала рабочую группу по разработке стратегии адаптации области к изменению климата	https://nikvesti.com/news/226763
227178	2021-08-16	Барна уволился с должности директора Николаевского аэропорта	https://nikvesti.com/news/227178
227742	2021-08-24	30-летие Независимости Украины: в Николаеве проходит фестиваль народного творчества «Folk-toloka»	https://nikvesti.com/news/227742
227783	2021-08-25	Барна, написавший заявление в день визита Зеленского, получил президентский орден	https://nikvesti.com/news/227783
